locations_no;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;flurstueck;rechtswert;hochwert;wohneinheiten;geweinheiten;rvfarbe;rvname;dpsid;hamikrorohr;aplaufgelegt;hakabelfasern;hakabelspleiss;kntname;odfspleiss;odfkabelfasern;mfgsid;popextid;auftraggeber;assigned_user_id;popsid
LOC10797;Gerstetten;Heldenfingen;Rüblinger Hof;1;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10798;Gerstetten;Heldenfingen;Rüblinger Hof;2;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10799;Gerstetten;Heldenfingen;Rüblinger Hof;4;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10800;Gerstetten;Heldenfingen;Rüblinger Hof;5;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10802;Gerstetten;Heldenfingen;Rüblinger Straße;3;-;-;578678.67;5384192.0;1;0;rot;HLDFG-HA1x10rs-RVT02-03-012;HLDFG-RVT-02;rosa;1-2;12 F (1x12);2;HLDFG-RVT-02;101-102;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10810;Gerstetten;Heldenfingen;Rüblinger Straße;17;-;-;578759.34;5384281.0;1;0;grün;HLDFG-HA1x10rs-RVT02-02-012;HLDFG-RVT-02;rosa;1-2;12 F (1x12);2;HLDFG-RVT-02;97-98;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10814;Gerstetten;Heldenfingen;Rüblinger Straße;21;-;-;578805.92;5384282.0;1;0;grün;HLDFG-HA1x10bl-RVT02-02-03;HLDFG-RVT-02;blau;1-2;12 F (1x12);2;HLDFG-RVT-02;115-116;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10817;Gerstetten;Heldenfingen;Rüblinger Straße;25;-;-;578838.81;5384295.0;1;0;grün;HLDFG-HA1x10rt-RVT07-03-01;HLDFG-RVT-07;rot;1-2;12 F (1x12);2;HLDFG-RVT-07;-;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10828;Gerstetten;Heldenfingen;Rüblinger Straße;40;-;-;578956.16;5384369.0;1;0;grün;HLDFG-HA1x10rt-RVT08-01-01;HLDFG-RVT-08;rot;1-2;12 F (1x12);2;HLDFG-RVT-08;-;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10844;Gerstetten;Heldenfingen;Rüblinger Straße;65;-;-;578920.57;5384629.0;1;0;grün;HLDFG-HA1x10or-RVT08-01-011;HLDFG-RVT-08;orange;1-2;12 F (1x12);2;HLDFG-RVT-08;-;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10850;Gerstetten;Heldenfingen;Sonnenhalde;3;-;-;578881.99;5384212.0;1;0;orange;HLDFG-HA1x10sw-RVT07-02-010;HLDFG-RVT-07;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-07;-;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10853;Gerstetten;Heldenfingen;Untere Hirschstraße;7;-;-;578910.78;5384257.0;1;0;orange;HLDFG-HA1x10bl-ws-RVT07-02-015;HLDFG-RVT-07;blau / weiß;1-2;12 F (1x12);2;HLDFG-RVT-07;-;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10861;Gerstetten;Heldenfingen;Untere Hirschstraße;20;-;-;578990.35;5384215.0;1;0;orange;HLDFG-HA1x10gr-RVT07-02-06;HLDFG-RVT-07;grau;1-2;12 F (1x12);2;HLDFG-RVT-07;-;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
