Projekt;Auftraggeber;zuständig;Hausanschlusslänge inklusive;COM_ADRESS_ID;PLZ;ORT;ORTSTEIL;STRASSE;HAUSNR;HAUSNR_ZUSATZ;ANSCHLUSSNR;FLURSTUECK;RECHTSWERT;HOCHWERT;WOHN_EINHEITEN;GEW_EINHEITEN;INST_EINHEITEN;HA_PL_DATUM;HA_GF_DATUM;HA_MIKROROHR;HA_STATUS;HA_DATUM;RV_FARBE;RV_NAME;RVT_NAME;APL_HERSTELLER;APL_TYP;APL_STECKERTYP;APL_AUFGELEGT;HA_KABELTYP;HA_KABELFASERN;HA_KABEL_LAENGE;HA_KABEL_SPLEISS;KVT_NAME;KVT_DATUM;KVT_KASSETTE;KVT_KASSETTE_SEITE;ODF_KABELTYP;ODF_KABELFASERN;ODF_SPLEISS;ODF_SPLEISS_2;POP_NETCOM;POP_GEMEINDE;HOEHENEINHEIT;HE_RICHTUNG;RACK;ODF_STECKERTYP;SLOT;PORT;PORT_2;DAEMPFUNG;DAEMPFUNG_DATUM;BEMERKUNG;DATENEINGABE
;;;;6FFA39C6BBC20F46F384975A0FB27496;88175;Scheidegg, im Allgäu;Bux;Bux;139;/C;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;9200EB3CEC5EB9F9330AB42BC59E0228;88175;Scheidegg, im Allgäu;Bux;Bux;140;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;83D148B6ED4262605EB0D143833E0B54;88175;Scheidegg, im Allgäu;Bux;Bux;141;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;65D62ACA04010A3A4E012BA7756B98F4;88175;Scheidegg, im Allgäu;Bächlingen;Bächlingen;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;B603F0C2D501310E08551258B537D7F5;88175;Scheidegg, im Allgäu;Bächlingen;Bächlingen;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;D48195E154EE92E4AC8181DC09E20783;88175;Scheidegg, im Allgäu;Bächlingen;Bächlingen;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;404ABEAA3A5A55551790E7E7513790CA;88175;Scheidegg, im Allgäu;Bächlingen;Bächlingen;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;09133E115CABEB00383AEE0C238A9545;88175;Scheidegg, im Allgäu;Bärfallen;Bärfallen;116;/1/2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;8FE98A9D80EEA37DD7771773BB5CC3C8;88175;Scheidegg, im Allgäu;Bärfallen;Bärfallen;116;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;579EFBF9EDB5356D1FF641A416621A95;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;D3B23891830A719A313640FFA2291152;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;B502785C7C0F42F43E0282028E354150;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ABA717CB0032267EC066590F46D9CC65;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;F3CCF28E8917551292CB0E15CDF7421E;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;48CDF15B1A4F1DA2B9B0E3828087C4B9;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A1C58D32308CC3323DC9A25D1021DA90;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;3A55BF2D5FB1DE9074C39D17DD1A9C1F;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;B2F3D18C53995F52362F7C268E563952;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;6ECBBBE55901AD4D8EC012EC4B85E3B2;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;AF78E2FCE554EBFA376FF5C759823460;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;9B2392123BC250FDCD26E66EE06CC501;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;12;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;8C90EFE2CFF36F0EA4A9D56240557546;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;13;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;78C09DF283D5053388CA815D2488F6EC;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;13;/B;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;A4E185CBF3015B6C3BED4612E18C34C4;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;13;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;D3D743456FBFD1F0326DB2D51F385414;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;14;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;43C4106D4436BBA0FCF3347CB3911BB5;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;15;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;5D0DB9CA865424DB71408B3121EE6DEB;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;16;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;8A8B2177E84EBE58ECE444C93D89B375;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;17;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;F73D3AC9ADE6A8F52B6D464AA4E5532D;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;18;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;0CB04EF46E9DACE634F79DB6077BA504;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;19;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;B30DB8840A5F41FE6CA96F2D4818B2BE;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;20;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;5956CA35B9EA3A5B3F32707FF41C80DE;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;21;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;FEEE3F384559A06F1CFEF69CCCF7F00E;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;21;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;3D604477359C77DFD5D49D6730AD9195;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;22;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;7848F66D49548A207865BF796BE6713F;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;23;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;038E636D2E76DE8259F3A164B449EFE2;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;23;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;78AE6B3E64F8B979DE6F519698EE02C3;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;25;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;4D34B00FF65DA6390BA5C62F245E6BA5;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;27;/B;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;0C1A019120065178E32F75A5E01AD37F;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;27;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;993387B84458DC3FF0269CFF61148118;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;29;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2206DFE006FC1C45AE0F327DFB5DD6C6;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;31;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;E5FF2EFABCFBC07B46D29D3297964A02;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;33;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;64A3CDFEBC02A439494723831A32347D;88175;Scheidegg, im Allgäu;Böserscheidegg;Böserscheidegg;35;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
